movie,boxoffice,month,day,company
Beauty and the Beast,174750616,3,17,Disney
Guardians of the Galaxy 2,146510104,5,5,Disney
It,123403419,9,8,Warner Bros
Thor Ragnarok,122744989,11,3,Disney
Spiderman Homecoming,117027503,7,7,Sony
Wonder Woman,103251471,6,2,Warner Bros
The Fate of the Furious,98786705,4,14,Universal
Justice League,93842239,11,17,Warner Bros
Logan,88411916,3,3,Fox
Despicable Me 3,72434025,6,30,Universal
Pirates of the Caribbean 5,62983253,5,26,Disney
Kong Skull Island,61025472,3,10,Warner Bros
War for the Planet of the Apes,56262929,7,14,Fox
Cars 3,53688680,6,16,Disney
The LEGO Batman Movie,53003468,2,10,Warner Bros
Dunkirk,50513488,7,21,Warner Bros
The Boss Baby,50198902,3,31,Fox
Coco,49022000,11,22,Disney
Fifty Shades Darker,46607250,2,10,Universal
Transformers The Last Knight,44680073,6,21,Paramount
Power Rangers,40300288,3,24,Lionsgate
Split,40010975,1,20,Universal
Kingsman The Golden Circle,39023010,9,22,Fox
Alien Covenant,36160621,5,19,Fox
Annabelle Creation,35006404,8,11,Warner Bros
